yManufStd,yHlthStd,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
0.50913299,1.015614797,1,0.529323974,-0.119490187,-0.342848305,-0.446342145,0.375682644,0.249483129
0.289336495,0.941773096,1,0.15594667,0.193657513,-0.027191076,-0.409381517,0.360913575,-0.130035692
0.397550572,0.765696862,1,0.628207335,-0.787546633,0.327568728,0.867392156,0.256851843,-0.142161318
0.410325227,-0.085778015,1,0.094762147,-0.293378632,-0.626407184,0.620057472,0.213266745,-0.161971709
0.148383093,0.279059624,1,0.200440842,-0.39590462,0.251643515,0.546906697,0.257982793,-0.086892429
0.109763827,-0.743915221,1,-0.096421234,-0.515453407,0.35308217,0.153811705,-0.578055734,0.059241052
0.611825179,0.035019026,1,0.251256692,-1.187928574,-0.040684675,0.56000693,-0.212328786,0.193950476
-0.318328493,-0.045755988,1,-0.184794835,0.968813651,-0.361772218,-0.017726165,-0.386822244,-0.276305404
0.655485255,0.115052225,1,0.541232542,0.85591437,-0.223116447,0.363019073,-1.101931192,0.007805761
-0.889685968,-1.227478414,1,-0.817186015,-0.111199412,-0.046155459,-0.311611792,-0.650313245,-0.173710793
1.005110286,0.359365781,1,0.535691055,0.011026331,-0.178856049,0.338523043,0.552153092,0.499836476
-0.808378196,-1.477491268,1,-0.813787446,0.383214784,-0.077800383,-0.397314686,0.051832396,-0.260974744
-0.103861906,0.256939258,1,-0.058430213,-0.022656126,-0.330842805,0.301588852,0.272214324,0.312808931
0.791089407,0.331768652,1,0.660329417,-0.01228422,-0.406659135,0.695026161,-0.474389318,0.483874045
0.972632179,0.264842709,1,0.416172717,-0.711275809,-0.469112834,0.670627696,-0.692991224,0.480149899
-0.260796136,-0.960214116,1,-0.578356197,-0.597813046,-0.832961813,-0.397792534,0.522045047,0.32461779
-2.232502775,-1.731069385,1,-2.034857898,-1.324648928,-0.400110315,-0.69056166,-1.04512951,-0.394576057
-0.70204003,-0.341851746,1,-0.784733778,-0.886232608,-0.908918234,-0.606927103,-0.153008043,0.571067256
0.481873942,0.439257832,1,0.476305797,1.576312134,-0.71113746,-0.466875573,-2.236466185,-0.950751085
-0.63353899,-0.410282656,1,-0.343091884,-0.190077699,1.071670588,-0.605127828,1.301656658,-0.926711382
0.987461151,0.668811457,1,0.828511682,-0.599853236,-0.179220825,-0.07981327,0.170521073,1.380249439
-0.144144521,-0.202414666,1,-0.22380883,-0.169005652,-0.670388246,0.11733293,-0.108189673,0.530757874
-0.181963503,-0.086291339,1,-0.565829182,-0.456935559,-0.172876669,-0.65405617,-1.087957085,0.086481976
0.733074087,0.534101082,1,0.639070584,-0.975685823,-0.324594693,0.362598482,-1.88634796,0.348247587
1.284920616,0.736821825,1,0.940775112,0.322490457,0.060504609,0.104445699,-0.868765229,0.683020872
-0.066676874,-0.166637806,1,-0.039072605,-0.876963751,-0.68325802,-0.788472795,-0.970336204,0.67846268
0.32086253,1.062026822,1,0.808279868,1.630724902,0.061402644,-0.519470232,-0.021047147,-0.504808878
0.379643919,-0.272763453,1,0.051968196,-0.818642672,-0.351032046,-0.911269193,-1.320235933,0.841356589
-1.210747529,-1.328067625,1,-1.531019249,-0.859240326,-0.707676051,-0.325921784,0.08194654,1.176486494
0.866430011,0.367446527,1,0.770040187,0.272227421,-0.230610243,1.345294515,0.961452691,0.519757787
-0.448625409,-0.553502896,1,-0.682234153,-0.911071705,-1.1846592,-0.191328763,0.020810713,0.845094732
-0.656883861,-1.013038203,1,-1.461937405,0.481453405,0.825341472,0.903861573,0.166799372,-0.329083801
-0.627288255,0.538869806,1,0.014200401,-0.861117303,-0.344176899,0.251028107,-0.790949335,-0.254794762
0.02325865,-0.575027849,1,-0.627901095,-0.236988386,-0.103510362,1.780912201,0.139877686,0.676902597
0.562778783,1.378793526,1,1.000621079,-1.195736682,-0.290031523,-1.227055384,-0.286162105,-0.240137418
0.986783218,-0.10198258,1,0.594679896,0.280454295,0.124686629,0.375247214,-0.474220281,0.400787426
-0.480709223,-1.218721168,1,-1.061992327,-1.055446996,-0.362206664,0.435661206,-0.419600886,1.506969
0.649148102,0.126693955,1,0.399840335,1.915362176,-0.312369805,0.717754249,0.300175444,0.237609786
0.097682893,-0.648782931,1,-0.248002432,-1.011126101,0.055083211,-0.324485824,-1.23276962,0.734278534
-1.273828767,-1.142033162,1,-1.869854038,-1.367855476,0.073271567,-0.34909786,-0.69437291,0.906130792
-0.877425599,2.042921366,1,-0.486986622,-1.382648648,-0.322243953,0.369168895,1.415062246,-0.587715756
-2.425532038,-2.19871764,1,-2.036669842,0.862633761,-0.0656748,-0.525827914,0.943467543,-0.489978989
0.018595743,-1.979549696,1,0.184489399,1.155414097,1.644587378,1.605786176,1.086396084,-2.401921461
1.550458134,1.13106215,1,1.852273966,0.852422482,1.535156822,-0.329290151,0.2267743,-2.200055545
-1.086493807,-1.135394264,1,-1.699703462,0.233626445,0.04136018,-0.461108746,-0.081397942,1.458167608
0.958320661,0.355969104,1,0.417965331,-0.979032349,-0.060181283,-0.288458429,-0.155171523,0.730180832
0.452905022,-0.562990157,1,-0.030905565,-0.583297467,0.047221941,1.91426899,-0.269889272,0.063318425
-0.169298152,-0.175371817,1,-0.650967155,0.365463906,-0.619889659,0.569742715,-0.76874091,1.200512895
-0.975788398,-1.334087116,1,-1.194300655,-0.654850432,-0.250000221,1.074967919,2.026909334,1.414988941
0.341177111,-0.691671496,1,-0.232644665,0.624039896,-0.339658934,1.285107774,-0.0114827,0.882208336
-0.77141437,1.01736843,1,0.965763144,-0.648051929,0.733950707,-0.866393582,0.92129198,-2.331274509
0.597637959,-0.041233607,1,-0.332781046,1.142578113,-0.608568529,-0.79058244,-2.139048075,1.715313355
1.668873122,0.800939501,1,1.527722541,-0.113750336,-0.003542277,-0.128323151,-0.94185352,-1.077387594
-0.343921687,-0.498211363,1,-1.070378765,-0.717172612,0.147694559,0.509839934,-0.270323584,1.207979876
1.922273832,-0.282555498,1,1.44304345,0.264426438,-0.117843195,1.732109224,-0.72279166,0.059855252
-0.285917095,0.014993794,1,0.108098528,-0.470691912,-0.568555563,0.139269367,-1.092539748,-0.509809485
-0.278180427,0.129072733,1,0.378767544,-0.444130328,0.550683406,-1.619708566,-0.637602636,-0.909246816
0.31082463,-0.981966524,1,-0.634720634,0.872994863,-0.286605829,1.557190448,0.022390594,1.533282282
1.24483813,0.351234067,1,0.970228678,0.280529129,-0.318114199,0.509983151,0.416265181,-0.087964994
-0.945033335,-0.64733347,1,-1.287323246,0.930871877,-0.109993334,-0.056941975,-0.02300184,1.049167502
0.311434261,0.943795428,1,0.746222916,0.931632968,-0.330312736,-0.583028845,-0.680574549,-0.046953757
-0.531066492,-0.876560677,1,-0.981306245,1.223854897,-0.363378289,0.752196655,-1.01754016,1.05672614
0.252350485,-0.362410825,1,-0.123598852,-0.359654302,-0.625975975,1.468804061,0.990477862,1.014588308
-0.644683893,-0.719564587,1,-1.128073324,1.674728686,-0.425895356,1.163276552,-0.40435489,1.482931535
-0.779400124,-0.24695014,1,-1.302492838,-0.588526686,-0.4763284,1.278476756,-0.344525032,1.532290455
-0.719646553,0.751420142,1,-0.799895468,-2.524869262,0.378475193,1.261167177,-0.139449663,1.064815136
-0.589231465,0.711821874,1,-0.558767258,1.613968919,-1.506607203,-0.221729733,0.37401999,2.090125512
-1.187687141,0.992187143,1,0.563571242,1.206663948,4.008871628,-1.459749031,1.197427278,-3.680397373
-0.665924695,0.477176354,1,-0.074571724,2.275914013,0.168501084,-0.024910904,-0.507339271,-0.992037789
-0.008356571,-0.458795173,1,0.088353322,0.199631257,1.799505114,-0.640772386,-0.067800648,-0.862455387
-0.31303571,1.834566716,1,0.911380246,0.63808349,0.413427102,1.13493206,1.938416197,-1.8586624
0.01885477,0.198441212,1,0.176243614,1.99639714,-0.286507167,-0.437715248,0.29772621,-0.28716105
0.670614899,-0.488436562,1,-0.319633753,-1.25677685,-1.030056152,1.930162455,-0.581567789,1.641883177
-0.159484537,-0.822511096,1,-0.250926463,0.590308082,1.496930799,-0.890120603,-0.050206597,-0.679746256
-2.122906454,-1.170048757,1,-1.261873619,0.753082156,3.085273532,-0.09519613,2.395580044,-1.396880015
0.202675636,0.321315456,1,0.117530147,-0.362493031,0.405025092,3.4668292,2.103948719,1.06999173
0.132811178,-0.791330175,1,0.269899945,2.210529617,3.802449434,-4.129508567,-2.179891951,-1.384408134
-1.661095499,-0.403449202,1,-1.592972366,-2.470547645,-1.519404562,2.247433059,0.301374302,1.234131026
-4.198227163,-2.195410579,1,-3.723656217,-2.179753593,0.767846208,-0.034027466,2.895958219,0.681148003
-7.471150819,-7.728798701,1,-6.92016148,2.939601518,-2.939408783,2.006757935,-0.074672322,2.908012963
1.930166595,3.313001375,1,1.696117917,-3.340239465,0.260573663,-0.985083891,-0.186683097,-0.22700647
-1.888490714,-1.652566017,1,-2.824820141,-3.035356902,-0.894305935,2.982336464,2.275342053,2.106678938
4.301016263,2.674818127,1,4.044890866,2.14025206,0.364850092,1.614972586,-2.709857627,-1.343830154
-1.124349824,-0.733336233,1,-1.590120341,-1.784715534,-1.134840267,0.180408587,1.27308771,0.851016961
-1.686391221,-1.278671144,1,-2.524201139,-2.51102115,-1.962360203,3.775824864,1.553341093,2.809016883
-1.902727673,-3.735163183,1,-3.397350967,-1.014330047,-5.99915454,6.863377542,4.55684504,5.04835223
3.571570051,2.310482499,1,4.741244086,1.614314081,5.870783417,-4.290128461,-3.331804827,-6.333223054
-2.645948848,0.184853085,1,-0.873637948,0.121090679,2.149555084,-1.098638326,1.681507299,0.357882546
1.585461385,0.043911129,1,0.184150143,0.559016494,-2.262949433,0.023805797,-3.09577379,-2.08097276
-0.473986162,1.520774522,1,0.454085752,1.560505693,0.164131537,-0.1244366,-1.043327362,-1.176298702
-0.368198868,-0.384877148,1,-0.685440182,-0.08037279,-0.599077441,0.806010806,0.637306807,1.390996467
2.825359652,1.85798971,1,2.546401944,-0.380516959,0.872495048,-0.658894268,-0.459332949,-2.493468475
-1.203088969,-1.50752744,1,-1.625295223,0.325229224,-1.306402807,-0.977289571,0.253035936,-2.814026013
-1.230467811,-0.125642091,1,-1.681510982,1.168988822,-3.816328019,1.332008928,1.787885452,3.948741855
-0.506970981,-0.363905681,1,-1.026179242,-2.138807238,-1.425833319,0.391489124,-2.11716062,0.025944226
-0.436953889,-0.110168949,1,-0.287274396,0.057875039,-0.750801288,-0.499469294,-2.105620989,-0.188004407
1.662107357,1.684200849,1,1.992423794,0.558872801,-0.853481352,0.199289637,-0.581655027,-1.478063923
-1.897517312,-1.003360056,1,-1.742857961,0.040273738,-2.129243227,-0.144754913,-1.945256916,0.619422767
-2.881197122,-1.43330939,1,-2.679305545,-0.977968981,-3.726011238,2.964375158,0.284536934,3.518482499
-1.665640734,-4.330254123,1,-1.666326894,-0.725476834,1.999355377,-1.05368336,0.474825995,-0.48047898
-2.579864453,-1.313530466,1,-2.742184171,-1.874549942,-4.518008801,0.185831844,-0.17833123,3.150635432
2.513822877,3.765269928,1,4.011845724,0.590881464,5.337474168,-3.527128926,-1.758522968,-4.874787346
1.041995608,-0.714235816,1,0.608872122,0.620148811,1.513986535,0.337298904,-0.096065844,-2.010518398
1.923280329,1.3139758,1,2.378298118,0.519654343,2.59453751,-2.092473471,-0.140306799,-3.589398658
1.253247586,-0.932791784,1,1.263760028,2.166507936,0.288580089,0.942369884,-1.252147281,-2.085124486
0.104694924,0.156131812,1,0.606023551,0.74806248,2.322930115,0.410675144,0.078098899,-2.892633252
0.21506399,0.638543675,1,0.534039657,1.212986482,1.344848606,-0.697144734,1.079480572,-3.171991528
0.183533592,-1.439231686,1,-0.23462649,0.859876251,-1.232578789,1.36723214,-0.243399017,-1.361012499
0.950267144,0.448071242,1,0.564440761,0.198243603,-0.846753862,-0.867484679,-0.386232236,-1.462248273
2.131184658,1.929275209,1,2.087701402,-0.895314944,4.872263844,-0.500760707,-2.292314133,-5.366247549
-2.17578393,-0.429635652,1,-1.999973401,-1.190673838,-3.548152866,0.298930726,0.901639479,3.711838839
0.437735106,-0.051304941,1,0.210093469,-0.123025279,-0.408098333,-1.324454851,-0.285580703,-1.380094911
1.313785817,1.003917722,1,1.347390873,0.822893256,-0.280540891,-0.360879049,-1.378874878,-1.025066024
1.126817314,0.062260204,1,0.922667815,2.69980529,-0.727466293,0.22398503,-0.958593282,-0.534526982
0.406322192,0.057669603,1,0.163898292,-1.007691121,0.07837515,-1.279354309,-0.109230438,-0.980827729
-1.939143541,0.486968975,1,-1.093990037,0.049551546,-0.666877234,0.287574254,0.139473627,2.42544439
-0.518669358,0.641530443,1,-0.088659176,0.723217967,-0.369585886,-0.792627197,0.223819699,0.727016946
-0.868128953,-1.18588757,1,-0.93762362,-0.134268782,-0.428419979,0.632884414,0.798373179,0.462640483
-1.025641241,-0.49116209,1,-0.885533862,-1.030386905,-0.943952754,0.662460597,-0.9578311,1.382510487
2.655337609,1.409839029,1,2.621589415,0.588081614,2.37222887,-0.1893391,1.626497215,-1.213027235
1.967739069,2.297989309,1,1.60778751,1.169294944,0.736317837,0.198358641,2.455691647,-1.598603297
-0.08997509,-0.131184008,1,0.288525658,0.640433007,1.615207643,-2.126202998,0.683176098,-1.136044707
0.365015247,-0.35539465,1,0.878639557,0.065195825,3.55736051,-2.521545414,1.745933083,-2.517474106
-0.228184329,-0.000968828,1,-0.300486864,-0.440371214,0.306071107,-0.258410139,0.096688997,-0.459535186
0.862375409,1.123695225,1,0.7598748,0.880597831,0.462134083,0.065592022,0.684024277,-0.28838456
-0.135695841,-0.088326643,1,0.008296395,-0.046088681,1.015588287,-0.864757607,2.130844701,-0.613222425
-0.59319894,-0.301595736,1,-0.477014423,-0.203462822,-1.268225199,0.823445385,-0.183526505,0.503343356
1.304299913,0.483142031,1,0.996953092,1.430716803,1.059728624,0.299946318,0.493418128,-1.086173774
1.188601789,0.250374251,1,0.92185498,1.189739462,1.287911301,-0.997415884,0.16931065,-1.325752762
-1.042113368,-0.456264903,1,-0.943303241,-0.639711392,-1.185183052,0.533245742,-0.489406164,0.45016992
-0.959384392,-0.483561144,1,-0.782063879,-0.96911773,-0.479451689,1.123384673,-0.197064193,0.443301672
2.025991862,1.041605109,1,1.738733049,1.214060248,1.763427543,0.368842334,0.198600646,-0.06733584
0.917257868,0.385826896,1,0.465683282,-0.613676322,-0.296029806,1.365309026,-0.271363313,0.082994979
-0.298993246,-1.10164742,1,-0.39530152,-1.35954364,-0.869137756,1.778320077,-1.574629725,0.185317994
-1.777891092,-1.432361257,1,-1.764346057,-2.392855055,-2.253211187,0.935645914,-0.475433723,-0.91258714
1.215386074,1.520886465,1,1.216795341,0.06679133,0.069555178,0.656903696,0.447904922,0.747168579
0.473745872,0.758064963,1,0.743619017,-1.182834702,0.524162683,0.308190712,0.728072488,0.503000295
-0.193522904,0.620623042,1,-0.137015195,-0.171410872,-0.27577331,-0.177799493,-0.080175357,-0.683645451
0.094670891,0.373823542,1,-0.09616045,-0.754621764,-0.727898923,0.830666457,-0.634857947,-0.264634308
0.271007209,0.490397976,1,0.537150526,2.176957841,0.387430407,-0.708624025,0.771313726,0.082269818
0.052942335,-0.035524639,1,-0.017163111,-0.133079054,-0.002690864,1.112622059,0.198626935,-0.067846388
-0.005739642,-0.202418084,1,-0.065315045,1.499159341,0.248287848,-0.573976256,-2.583143927,0.597679317
0.780471177,0.682241208,1,0.83110447,1.338604534,0.02900624,0.263633511,0.580353452,0.667440388
-0.548442639,-0.421431472,1,-0.444832128,-0.308868892,-0.078217328,-0.764720785,0.302039286,-0.232317133
1.343473586,0.608867095,1,1.035226564,0.654981328,2.437077829,-0.900825181,0.609202503,0.270379884
-0.480957916,0.505669546,1,-0.410988187,-0.170218902,-0.950339654,0.482204228,0.711867647,-0.766302088
-1.549819391,-0.920334546,1,-1.429852634,0.340554168,-1.180721333,-0.38831691,-0.81092283,-1.162193707
-0.897600142,-0.55511847,1,-0.711623339,-0.662969711,0.046550901,-1.220402906,0.317024041,-0.595843876
-0.338419237,-0.744270586,1,-0.370759533,-0.686796603,-0.023319338,-0.045664398,1.519581995,0.208794157
0.559083386,0.205913988,1,0.47776223,1.816255885,0.472954812,-0.277191575,0.90387724,0.991957225
1.285330197,0.832497709,1,1.144108456,0.169289392,1.040718657,0.300709057,-0.181316676,0.315769416
-0.557809601,-0.491555185,1,-0.201644926,-0.227743136,0.545861062,-0.828136559,-0.312966214,0.198646602
1.251332029,1.020108231,1,1.250432996,2.168726038,0.767259921,-0.226061967,1.834428693,1.043750672
0.142191816,-0.010968429,1,0.383541789,0.359480885,0.300815593,-0.595896154,0.684165617,0.416279387
-0.182857448,0.361203182,1,0.166721103,-1.063943665,-0.447714083,-0.201661489,-0.387962455,-0.903543903
-0.186674444,-0.371958902,1,0.189359574,0.105986168,0.7976775,-0.654653081,0.449405035,0.9274095
0.831346813,0.37714473,1,0.324747889,-0.128628643,0.446446238,0.644850868,0.169134614,0.217122562
0.467165301,-0.239468117,1,0.558970203,1.061000778,1.401946058,-0.582086099,1.155244689,0.466172274
-0.150206668,-0.348370539,1,-0.025658337,2.035327401,-0.29649456,0.176696388,0.564130461,0.135744184
1.145131392,-0.588200668,1,0.769057059,1.474904557,1.119132098,-0.018720619,0.331271486,0.661139329
-0.944170023,-0.424590477,1,-1.058050535,-0.653022327,-0.90550595,0.997561834,-0.204057129,-0.43924229
-2.655606298,-2.17470034,1,-2.648077371,-2.047680321,-1.436260397,0.951355587,-1.148076989,-1.086046482
1.00858917,0.33927461,1,1.000248451,2.991824325,0.099375927,0.004391203,-0.065309683,0.929948979
-1.848597854,-2.0140451,1,-1.770937346,-2.05738227,-0.684934263,0.085353066,-0.270649371,-0.741367986
0.159381264,-0.089187735,1,0.175796927,1.269117002,0.614456719,-0.219114093,1.330310497,1.193284156
-1.136667906,-0.772940746,1,-0.989906095,-1.426674601,-1.32069418,-0.067415891,-1.160214745,-0.404828189
1.331542042,0.824593224,1,0.87276673,-0.402895864,-0.071207777,0.988905568,0.312407036,0.152125793
0.967610369,0.799817105,1,0.850809311,0.266431988,0.248182254,-0.56914261,-0.299664566,0.411915055
-1.615037955,-0.793960391,1,-1.407299337,0.095105688,-0.249442817,-1.815491611,-0.912670799,-0.269374389
-1.843221337,-1.515799209,1,-2.066805812,-1.325099298,-1.996961677,1.522195571,-0.606514349,-1.347226029
2.076242413,1.435382582,1,1.990590611,-0.598307289,0.722169821,-1.606994059,1.487815061,0.731747193
-0.613345128,-0.817867195,1,-0.582048119,-1.041348078,-0.681362666,1.700342306,-0.425942626,-0.645726924
1.701465502,0.013741327,1,1.427362009,2.194676467,-0.079403598,-1.084529336,2.73818201,0.650850758
